raw_relation,normalized_relation,count
INSTANCES_OF,IS_A,3
POSITIONED_AT,OTHER,3
ENABLES_DEPOSITION_OF,PROMOTES_OR_INCREASES,3
TRIGGERS_CHANGE_IN,CAUSES_OR_CONTRIBUTES_TO,3
REQUIRES_MATCHED_CTE_WITH,CORRELATES_WITH,3
HAS_WEAKER_REACTION_WITH,HAS_OR_EXHIBITS,3
IDENTIFIES_AS_CANDIDATE,OBSERVES_OR_MEASURES,3
MATCHES_CTE_WITH,CORRELATES_WITH,3
FABRICATED_UNDER,PROCESSED_OR_SUBJECTED_TO,3
VERIFIED_FOR,OTHER,3
CORRELATES_LINEARLY_WITH,CORRELATES_WITH,3
INCORPORATED_WITH,CONTAINS_OR_PART_OF,3
REPORTS_PREDICTIONS_IN,OBSERVES_OR_MEASURES,3
DISPLAYS_FITTING_FOR,HAS_OR_EXHIBITS,3
HAS_HIGHER_THERMAL_STABILITY_THAN,HAS_OR_EXHIBITS,3
COORDINATED_WITH,OTHER,3
INTRODUCES_ERROR_IN,PRODUCES_OR_TRANSFORMS_TO,3
DEGRADATES,REDUCES_OR_INHIBITS,3
APPLIED_TO_PRODUCE,USES_OR_APPLIES_TO,3
IS_GROWN_ON,OTHER,3
USES_AS_ELECTROLYTE,USES_OR_APPLIES_TO,3
ENHANCES_ADSORPTION_ON,PROMOTES_OR_INCREASES,3
MORE_ACTIVE_THAN,OTHER,3
CIRCUMVENTS,OTHER,3
REMOVES_FROM,OTHER,3
REMAINS_CONSTANT,OTHER,3
EXCEEDS_THRESHOLD,COMPARES_WITH,3
USED_IN_FORMULA,USES_OR_APPLIES_TO,3
INCREASES_ASPECT_RATIO_OF,PROMOTES_OR_INCREASES,3
IMMOBILIZES,OTHER,3
USES_EQUIPMENT,USES_OR_APPLIES_TO,3
REQUIRES_SIMILAR_DISORDERING_AS,COMPARES_WITH,3
UNDERGOES_TRANSFORMATION_AT,PRODUCES_OR_TRANSFORMS_TO,3
ARE_TYPES_OF,OTHER,3
COMPENSATE,OTHER,3
PROMOTES_TRANSFORMATION_OF,PROMOTES_OR_INCREASES,3
PROBED,OTHER,3
VARIES_NEAR,OTHER,3
DESCRIBES_STRUCTURE_OF,DESCRIBES_OR_DEFINES,3
QUANTIFIES_VARIABILITY_OF,MODELS_OR_PREDICTS,3
IS_MECHANISM_IN,OTHER,3
DECREASES_UNDER,REDUCES_OR_INHIBITS,3
APPLIED_PARALLEL_TO,USES_OR_APPLIES_TO,3
DETERMINED_USING,AFFECTS_OR_INFLUENCES,3
ADJUSTED_TO_MATCH,CORRELATES_WITH,3
SUGGESTED_BY,OTHER,3
PRECONDITIONED_WITH,OTHER,3
COMPLEMENTARY_TO,OTHER,3
CLOSELY_MATCHES,CORRELATES_WITH,3
HAS_HIGHER_D_BAND_CENTER_THAN,HAS_OR_EXHIBITS,3
HAS_HIGHER_D_BAND,HAS_OR_EXHIBITS,3
EXHIBITS_PLASTICITY_IN,HAS_OR_EXHIBITS,3
SMOOTHES,OTHER,3
FOLLOWS_METHOD_OF,TEMPORAL_ORDER,3
REPRODUCED,PRODUCES_OR_TRANSFORMS_TO,3
PREDICTS_POORLY,MODELS_OR_PREDICTS,3
IMAGED_IN,OTHER,3
INDICATES_INTERACTION_WITH,OBSERVES_OR_MEASURES,3
DISTRIBUTES_OVER,LOCATED_OR_OCCURS_IN,3
MEDIATES_INTERACTION_WITH,INTERACTS_WITH,3
MEDIATES_FORMATION_OF,PRODUCES_OR_TRANSFORMS_TO,3
EXHIBITS_BETTER_RESISTANCE_THAN,HAS_OR_EXHIBITS,3
MEASURES_POTENTIAL_OF,OBSERVES_OR_MEASURES,3
STARTS_IN,OTHER,3
CORROSION_RATE_CALCULATED_FROM,MODELS_OR_PREDICTS,3
FACES_CHALLENGE_OF,OTHER,3
DEPLETES_NEAR,OTHER,3
ABSORBED_BY,OTHER,3
CAPTURED_BY,OBSERVES_OR_MEASURES,3
EXHIBITS_HIGHER_IN,HAS_OR_EXHIBITS,3
HAS_HIGH_VACANCY_MIGRATION_ENERGY_IN,HAS_OR_EXHIBITS,3
FAILS_TO_DISTINGUISH,OTHER,3
VIEWED_AS,OTHER,3
COMPOSED_WITH,CONTAINS_OR_PART_OF,3
SIMPLIFIED_TO,OTHER,3
IS_TRANSFORMED_BY,PRODUCES_OR_TRANSFORMS_TO,3
HAS_GREATER_INFLUENCE_THAN,HAS_OR_EXHIBITS,3
IS_EXCEPTION_FOR,OTHER,3
RELAXED_IN,OTHER,3
CROSSES_AT,OTHER,3
TRIGGERS_ABRUPT_CHANGE_IN,CAUSES_OR_CONTRIBUTES_TO,3
EXHIBITS_INVARIANCE_TO,HAS_OR_EXHIBITS,3
CONCEPTUALIZED,OTHER,3
CAUSES_DIFFICULTY_FOR,CAUSES_OR_CONTRIBUTES_TO,3
PEAKS_IN,OTHER,3
HAS_MAXIMUM_AT,HAS_OR_EXHIBITS,3
HINDERS_ACHIEVEMENT_OF,REDUCES_OR_INHIBITS,3
MULTIPLIES,OTHER,3
FUNDED_RESEARCH_ON,PUBLICATION_METADATA,3
DECLARED,OTHER,3
IS_RELEVANT_FOR,OTHER,3
SHOWS_RELATIONSHIP_WITH,CORRELATES_WITH,3
CAN_BE_VERIFIED_BY,OTHER,3
MAINTAINS_STABILITY_UNDER,OTHER,3
EVALUATED_ALONGSIDE,OBSERVES_OR_MEASURES,3
SUPPORTS_FEASIBILITY_OF,PROMOTES_OR_INCREASES,3
DECREASES_INTENSITY_OF,REDUCES_OR_INHIBITS,3
LIMITS_FORMATION_OF,REDUCES_OR_INHIBITS,3
HAS_HIGHER_DIFFUSION_COEFFICIENT_THAN,HAS_OR_EXHIBITS,3
PROMOTE_DIFFUSION_OF,PROMOTES_OR_INCREASES,3
HAS_GREATER_THICKNESS_THAN,HAS_OR_EXHIBITS,3
REDUCES_GROWTH_OF,REDUCES_OR_INHIBITS,3
CHARACTERIZES_GROWTH_OF,OBSERVES_OR_MEASURES,3
INFLUENCES_GROWTH_RATE_OF,AFFECTS_OR_INFLUENCES,3
HIGHLIGHT,OTHER,3
UNDERGOES_TRANSFORMATION_DURING,PRODUCES_OR_TRANSFORMS_TO,3
DIFFERS_IN_ORIENTATION_FROM,COMPARES_WITH,3
DISAPPEARS_FROM,OTHER,3
INFILTRATES_WITH,OTHER,3
NEGLIGIBLE_IN,OTHER,3
ACKNOWLEDGES_FACILITY,PUBLICATION_METADATA,3
PROVIDES_ASSISTANCE_AT,PROMOTES_OR_INCREASES,3
COMPUTE,MODELS_OR_PREDICTS,3
ELUCIDATE,OTHER,3
PROVIDED_COMPUTING_RESOURCES,PROMOTES_OR_INCREASES,3
HAS_PLANE,HAS_OR_EXHIBITS,3
GUIDES_DISTRIBUTION_OF,DESCRIBES_OR_DEFINES,3
INTENSITY_SPREADS_TOWARD,OTHER,3
MODELS_DIFFUSION_OF,MODELS_OR_PREDICTS,3
SCREENED_BY,OTHER,3
CONVERGES_ON_COMPOSITION_FOR,OTHER,3
SUGGESTS_HIGHER,OTHER,3
ACKNOWLEDGED_BY,PUBLICATION_METADATA,3
SELECTED_USING,OTHER,3
HAS_TGO,HAS_OR_EXHIBITS,3
DEPENDS_ON_GEOMETRY,DEPENDS_ON_OR_REQUIRES,3
CONDUCTED_BELOW,OTHER,3
NOT_CONSIDERED_IN,OTHER,3
DESCRIBES_TRANSFORMATION_FROM,DESCRIBES_OR_DEFINES,3
FORMED_UNDER,PRODUCES_OR_TRANSFORMS_TO,3
ARE_VARIANTS_OF,OTHER,3
PARAMETER_IN,OTHER,3
LOWERS_MELTING_POINT_OF,OTHER,3
EXHIBITS_MORPHOLOGY_IN,HAS_OR_EXHIBITS,3
FALLS_SHORT_OF,OTHER,3
HAS_LOWER_MELTING_POINT_THAN,HAS_OR_EXHIBITS,3
COMPOSITIONALLY_SIMILAR_TO,COMPARES_WITH,3
REVEALS_COMPOSITION_OF,OBSERVES_OR_MEASURES,3
DOPED_INTO,PROCESSED_OR_SUBJECTED_TO,3
POTENTIALLY_ENHANCES,PROMOTES_OR_INCREASES,3
DESIGN_FOR,OTHER,3
GUIDE,DESCRIBES_OR_DEFINES,3
PREDICTS_COMPOSITION_FOR,MODELS_OR_PREDICTS,3
CALCULATES_PHASE_FRACTION_OF,HAS_OR_EXHIBITS,3
DEFINES_TARGET_FOR,DESCRIBES_OR_DEFINES,3
HAS_MEASURED_GRAIN_SIZE_CLOSE_TO_PREDICTED_BY,HAS_OR_EXHIBITS,3
HAS_LOWER_COARSENING_RATE_THAN,HAS_OR_EXHIBITS,3
HAS_LOWER_OR_COMPARABLE_COARSENING_RATE_TO,HAS_OR_EXHIBITS,3
ENRICH_IN,OTHER,3
IS_CUT_BY,OTHER,3
IS_AVOIDED_BY_CONTROLLING,IS_A,3
REACT_TO_FORM,PRODUCES_OR_TRANSFORMS_TO,3
REPRESENTS_ENERGY_OF,DESCRIBES_OR_DEFINES,3
ALLOWS_SUBSTITUTION_BY,OTHER,3
EXTENDS_ALONG,CONNECTS_OR_FLOWS_TO,3
CORRESPONDS_TO_SUBSTITUTION_AT,CORRELATES_WITH,3
HIGHLIGHTED_IN,OTHER,3
ARE_PERPENDICULAR_TO,OTHER,3
HAS_NARROW,HAS_OR_EXHIBITS,3
OPTIMIZES_WITH,OTHER,3
FORM_BINARY_SOLID_SOLUTION,PRODUCES_OR_TRANSFORMS_TO,3
IS_ELEMENT,CONTAINS_OR_PART_OF,3
PARTITIONS_BETWEEN,CONTAINS_OR_PART_OF,3
SLOWS_COARSENING_OF,OTHER,3
DECREASES_COARSENING_OF,REDUCES_OR_INHIBITS,3
SHOWS_WEAKENED_SITE_PREFERENCE_IN,PUBLICATION_METADATA,3
USED_TO_PLOT,USES_OR_APPLIES_TO,3
EXHIBITS_CRACK_TIP_EVOLUTION_AT,HAS_OR_EXHIBITS,3
CAUSES_VARIABILITY_IN,CAUSES_OR_CONTRIBUTES_TO,3
HAS_BOND_MODE_CATEGORY,HAS_OR_EXHIBITS,3
CAN_BE_EXTENDED_BY,CONNECTS_OR_FLOWS_TO,3
IS_A_COMPONENT_OF,IS_A,3
ENABLES_COMPATIBILITY_WITH,PROMOTES_OR_INCREASES,3
PART_OF_SET,CONTAINS_OR_PART_OF,3
USES_ADJUSTED_PROBABILITY,USES_OR_APPLIES_TO,3
ABBREVIATED_AS,OTHER,3
EXACERBATED_BY,OTHER,3
FACILITATES_ADSORPTION_OF,PROMOTES_OR_INCREASES,3
IS_STEP_OF,OTHER,3
DESCRIBES_INTERACTION_OF,DESCRIBES_OR_DEFINES,3
REMAINS_UNCHANGED_DURING,TEMPORAL_ORDER,3
INTRODUCED_DURING,PRODUCES_OR_TRANSFORMS_TO,3
USED_IN_CONSTRUCTING,USES_OR_APPLIES_TO,3
EXHIBITS_STRONG_ADSORPTION_ON,HAS_OR_EXHIBITS,3
ACCOMPLISHES,OTHER,3
ORIENT,OTHER,3
MAY_INCREASE,PROMOTES_OR_INCREASES,3
SPECIFY,OTHER,3
DEFINES_TRANSITION_TO,DESCRIBES_OR_DEFINES,3
CAN_BE_GROWN_USING,OTHER,3
EXAMINED_UNDER,OBSERVES_OR_MEASURES,3
HAS_HIGHER_FORMATION_ENERGY_THAN,HAS_OR_EXHIBITS,3
CAUSES_RETENTION_OF,CAUSES_OR_CONTRIBUTES_TO,3
ALTERS_DISTRIBUTION_OF,AFFECTS_OR_INFLUENCES,3
MOVES_IN,OTHER,3
EXPECTED_TO_INDUCE,CAUSES_OR_CONTRIBUTES_TO,3
IS_CAUSED_BY,CAUSES_OR_CONTRIBUTES_TO,3
AFFECTS_TRANSITION_PATH,AFFECTS_OR_INFLUENCES,3
HAS_COMPARABLE_PROPERTIES_TO,HAS_OR_EXHIBITS,3
SIMULATE_DEFORMATION_OF,MODELS_OR_PREDICTS,3
EXCEEDS_IN_DISSOLUTION_RATE,COMPARES_WITH,3
EXHIBITS_SOFTENING_EFFECT,HAS_OR_EXHIBITS,3
DECREASES_IN_ORDER,REDUCES_OR_INHIBITS,3
EXHIBITS_SIMILAR_EFFECT,HAS_OR_EXHIBITS,3
MINIMAL_IMPACT,AFFECTS_OR_INFLUENCES,3
CONTAINS_DIRECTION,CONTAINS_OR_PART_OF,3
DEFINES_RANGE_WITH,DESCRIBES_OR_DEFINES,3
IS_TRACKED_IN,OTHER,3
DESCRIBES_DISTRIBUTION_OF,DESCRIBES_OR_DEFINES,3
RETAIN,OTHER,3
INDICATES_PERFORMANCE_OF,OBSERVES_OR_MEASURES,3
PREDICTS_EFFECT_OF,MODELS_OR_PREDICTS,3
LOCATED_OUTSIDE,LOCATED_OR_OCCURS_IN,3
HAS_LOWER_CONDUCTION_THAN,HAS_OR_EXHIBITS,3
IS_IRRELEVANT_FOR,OTHER,3
INSERTED_IN,OTHER,3
REDUCES_RECOVERY,REDUCES_OR_INHIBITS,3
RETRIEVED_FROM,OTHER,3
MOUNTED_IN,OTHER,3
SWITCHES_TO,OTHER,3
USED_BEFORE,USES_OR_APPLIES_TO,3
OPERATED_BY,OTHER,3
MAY_CORRELATE_WITH,CORRELATES_WITH,3
CONFIRMED_WITH,OBSERVES_OR_MEASURES,3
REPRODUCED_BY,PRODUCES_OR_TRANSFORMS_TO,3
FAILED_TO_DETECT,OBSERVES_OR_MEASURES,3
CORRELATES_INVERSELY_WITH,CORRELATES_WITH,3
ENABLES_DISTINCTION_OF,PROMOTES_OR_INCREASES,3
REQUIRES_OVERCOMING,DEPENDS_ON_OR_REQUIRES,3
CAUSES_REDUCTION,CAUSES_OR_CONTRIBUTES_TO,3
ENABLE_ANALYSIS_OF,PROMOTES_OR_INCREASES,3
ENABLE_STUDY_OF,PROMOTES_OR_INCREASES,3
INFLUENCES_EVOLUTION_OF,AFFECTS_OR_INFLUENCES,3
USES_FOR_DISTINCTION,USES_OR_APPLIES_TO,3
SHOWS_VARIATION_IN,OBSERVES_OR_MEASURES,3
ENABLE_GROWTH_OF,PROMOTES_OR_INCREASES,3
LOSES_CHARGE_IN,OTHER,3
GAINS_CHARGE_IN,OTHER,3
EXHIBITS_HIGHER_BARRIER_FOR,HAS_OR_EXHIBITS,3
NOT_ORIGINATE_FROM,PROCESSED_OR_SUBJECTED_TO,3
ENABLES_CONDITION_FOR,PROMOTES_OR_INCREASES,3
BLUNTS,OTHER,3
DECREASES_FASTER_THAN,REDUCES_OR_INHIBITS,3
PROMOTES_PROPAGATION_OF,PROMOTES_OR_INCREASES,3
CAUSES_WEAKENING_OF,CAUSES_OR_CONTRIBUTES_TO,3
ACKNOWLEDGES_HELP_FROM,PUBLICATION_METADATA,3
JEOPARDIZES,OTHER,3
HAS_ENERGY_SEPARATION,HAS_OR_EXHIBITS,3
DESTROY,OTHER,3
INDICATES_DESTABILIZATION_OF,PROMOTES_OR_INCREASES,3
SHARE_SIMILARITY_WITH,COMPARES_WITH,3
SEGREGATED_IN,LOCATED_OR_OCCURS_IN,3
SHOWS_DISCREPANCY_WITH,OBSERVES_OR_MEASURES,3
EXPECTED_TO_INCREASE_DUCTILITY_OF,PROMOTES_OR_INCREASES,3
LOCATED_ABOVE,LOCATED_OR_OCCURS_IN,3
ALLOY_IN,OTHER,3
APPLIED_AT_TEMPERATURE,USES_OR_APPLIES_TO,3
HAS_MEASURED_LOOP_SIZE,HAS_OR_EXHIBITS,3
DISAPPEARS_AT,OTHER,3
REDUCES_MOBILITY_OF,REDUCES_OR_INHIBITS,3
FORMS_AFTER,PRODUCES_OR_TRANSFORMS_TO,3
INCURS,OTHER,3
INCLUDES_CHALLENGE,CONTAINS_OR_PART_OF,3
HAS_LOWER_ACTIVATION_ENERGY_THAN,HAS_OR_EXHIBITS,3
SLIGHTLY_AFFECTS,AFFECTS_OR_INFLUENCES,3
CAUSES_CRACKS_IN,CAUSES_OR_CONTRIBUTES_TO,3
ASSESS_INFLUENCE_ON,AFFECTS_OR_INFLUENCES,3
INFILTRATED_BY,OTHER,3
HAS_HIGHER_VISCOSITY_THAN,HAS_OR_EXHIBITS,3
PARAMETERIZED_FOR,OTHER,3
EXHIBITS_SIMILARITY_WITH,HAS_OR_EXHIBITS,3
IS_STUDIED_IN,OBSERVES_OR_MEASURES,3
REDUCES_VISCOSITY_OF,REDUCES_OR_INHIBITS,3
FAILS_TO_REPLICATE,OTHER,3
EXPLORES_CORRELATION_FOR,CORRELATES_WITH,3
SOLVES_FOR,OTHER,3
IS_APPLIED_ON,IS_A,3
RECOMMENDED_FOR_USE_IN,OTHER,3
VISUALIZED_WITH,OTHER,3
CAUSES_EMERGENCE_OF,CAUSES_OR_CONTRIBUTES_TO,3
DIFFERS_FOR,COMPARES_WITH,3
HARDENS_WITH,OTHER,3
DETECTED_USING,OBSERVES_OR_MEASURES,3
VERIFIED_USING,OTHER,3
HAS_SIMILAR_RADIUS_TO,HAS_OR_EXHIBITS,3
EXHIBITS_WEAKLY,HAS_OR_EXHIBITS,3
CONTAINS_MEASUREMENT_OF,CONTAINS_OR_PART_OF,3
SHARE_STRUCTURE,OTHER,3
IMPLY_NEED_FOR,OTHER,3
REDUCES_STRAIN_ENERGY_VIA,REDUCES_OR_INHIBITS,3
EXHIBITS_FASTER,HAS_OR_EXHIBITS,3
CAUSES_WIDENING_OF,CAUSES_OR_CONTRIBUTES_TO,3
CAPTURES_IMAGES_OF,OBSERVES_OR_MEASURES,3
MAY_OMIT,OTHER,3
EXHIBITS_HIGH_SENSITIVITY_TO,HAS_OR_EXHIBITS,3
PROMOTES_STABILITY_OF,PROMOTES_OR_INCREASES,3
EXHIBITS_DEVIATION_IN,HAS_OR_EXHIBITS,3
CANNOT_UNDERGO,PROCESSED_OR_SUBJECTED_TO,3
INDICATES_ORIENTATION_SCATTERING_INCLUDING,OBSERVES_OR_MEASURES,3
CAUSES_FRACTURE_OF,CAUSES_OR_CONTRIBUTES_TO,3
EXHIBITS_PARTIAL_SLIPPING_AT,CONTAINS_OR_PART_OF,3
COLLECTED_USING,OTHER,3
ALLIOTROPIC_PAIR,OTHER,3
PROJECTED_ON,OTHER,3
ENFORCES_SYMMETRY,OTHER,3
GOVERNS_TRANSFORMATION,AFFECTS_OR_INFLUENCES,3
BENEFIT_FROM,OTHER,3
EXCEEDS_LIMIT_OF,REDUCES_OR_INHIBITS,3
ELECTROPOLISHED_WITH,OTHER,3
EXCEEDS_IN_YIELD_STRENGTH,PRODUCES_OR_TRANSFORMS_TO,3
ACTIVATES_IN,PROMOTES_OR_INCREASES,3
EXHIBITS_OPTIMAL,HAS_OR_EXHIBITS,3
IS_ACHIEVED_IN,IS_A,3
APPROXIMATED_AS,OTHER,3
RECORDS_ON,OTHER,3
HAS_REFRACTIVE_INDEX,HAS_OR_EXHIBITS,3
MAY_BE,OTHER,3
EXHIBITS_PEAK_AT,HAS_OR_EXHIBITS,3
SEGREGATES_ALONG,LOCATED_OR_OCCURS_IN,3
COMPLICATES_INTERPRETATION_OF,OTHER,3
EXHIBITS_EFFECT_OF,HAS_OR_EXHIBITS,3
IS_CONNECTED_BY,CONNECTS_OR_FLOWS_TO,3
FRACTURES,OTHER,3
HAS_LONGER_DURATION_THAN,HAS_OR_EXHIBITS,3
IS_SIMILAR_IN,COMPARES_WITH,3
HAS_LOW_LEVEL_OF,HAS_OR_EXHIBITS,3
ENABLES_SIMULTANEOUS_ACTIVATION,PROMOTES_OR_INCREASES,3
MINIMIZES_AT,REDUCES_OR_INHIBITS,3
SHOWS_DIRECTIONAL_COARSENING_OF,OBSERVES_OR_MEASURES,3
PROPAGATES_CRACKS_ALONG,OTHER,3
EXHIBITS_SYMMETRY_IN,HAS_OR_EXHIBITS,3
DAMAGE_INFLUENCED_BY,AFFECTS_OR_INFLUENCES,3
FRACTURE_CAUSED_BY,CAUSES_OR_CONTRIBUTES_TO,3
EXHIBITS_DAMAGE_SYMMETRY,HAS_OR_EXHIBITS,3
MINIMISE,OTHER,3
CONTAINS_DISTRIBUTION_OF,CONTAINS_OR_PART_OF,3
HINDER_OBSERVATION_OF,REDUCES_OR_INHIBITS,3
MOVES_AMONG,OTHER,3
CANNOT_RESOLVE,OTHER,3
HAS_ANISOTROPY_PARAMETER,HAS_OR_EXHIBITS,3
EXPANDS_WITH,OTHER,3
CUT_TO,OTHER,3
REDUCES_SOLUBILITY,REDUCES_OR_INHIBITS,3
TRANSITIONS_INTO,PRODUCES_OR_TRANSFORMS_TO,3
HAS_DEFORMATION_GRADIENT,HAS_OR_EXHIBITS,3
MAINLY_AFFECTS,AFFECTS_OR_INFLUENCES,3
BENEFITED_FROM,OTHER,3
SHOWS_REDUCED_SEGREGATION_OF,REDUCES_OR_INHIBITS,3
AUTHORS_SECTION_ON,PUBLICATION_METADATA,3
WAS_WELDED_FROM,OTHER,3
MANUFACTURE,PROCESSED_OR_SUBJECTED_TO,3
RECOMMENDED,OTHER,3
USES_AS_BASE,USES_OR_APPLIES_TO,3
INJECTED_INTO,OTHER,3
DRIVES_REQUIREMENTS_FOR,CAUSES_OR_CONTRIBUTES_TO,3
SHOWS_ENRICHMENT_OF,OBSERVES_OR_MEASURES,3
IS_RAW_MATERIAL_FOR,OTHER,3
INHIBITS_DISSOLUTION_OF,REDUCES_OR_INHIBITS,3
HAS_HIGHER_GREEN_STRENGTH_THAN,HAS_OR_EXHIBITS,3
HAS_PERMEABILITY_VALUE,HAS_OR_EXHIBITS,3
COVERED_WITH,OTHER,3
CAN_BE_USED_WITH,USES_OR_APPLIES_TO,3
HAS_PRIMARY_LAYER,HAS_OR_EXHIBITS,3
REQUIRES_DRYING_TO_ACHIEVE,DEPENDS_ON_OR_REQUIRES,3
HAS_VOLATILIZATION_RATE,HAS_OR_EXHIBITS,3
INCREASES_POROSITY_OF,PROMOTES_OR_INCREASES,3
REDUCES_POROSITY_OF,REDUCES_OR_INHIBITS,3
AFFECTS_FILLING_OF,AFFECTS_OR_INFLUENCES,3
REQUIRES_CONTROL,AFFECTS_OR_INFLUENCES,3
FLOWS_FROM,CONNECTS_OR_FLOWS_TO,3
HAS_SHAPE,HAS_OR_EXHIBITS,3
ENABLES_SIMULTANEOUS_EXECUTION_OF,PROMOTES_OR_INCREASES,3
CAUSES_LARGE_CHANGES_IN,CAUSES_OR_CONTRIBUTES_TO,3
TRANSMIT_THROUGH,OTHER,3
REFINED,OTHER,3
FIXED_BY,OTHER,3
HAS_PREDICTED_VALUE,HAS_OR_EXHIBITS,3
HAS_MODULUS,HAS_OR_EXHIBITS,3
STORED_WITH,OTHER,3
CONTAINS_REMNANTS_OF,CONTAINS_OR_PART_OF,3
DISSOLVES_PARTIALLY,CONTAINS_OR_PART_OF,3
FORMED_BY_LIQUATION_OF,PRODUCES_OR_TRANSFORMS_TO,3
HAS_HIGH_SENSITIVITY_TO,HAS_OR_EXHIBITS,3
HAS_LOWER_SENSITIVITY_THAN,HAS_OR_EXHIBITS,3
TRANSFORMS_IN,PRODUCES_OR_TRANSFORMS_TO,3
REDUCES_HOT_CRACKING_IN,REDUCES_OR_INHIBITS,3
CONTROLLED_DURING,AFFECTS_OR_INFLUENCES,3
AFFECTS_PROPERTIES_OF,AFFECTS_OR_INFLUENCES,3
LOCATED_ADJACENT_TO,LOCATED_OR_OCCURS_IN,3
DELIVERS_TO,OTHER,3
HAS_LIMITATION_FOR,HAS_OR_EXHIBITS,3
IS_VERTEX_OF,OTHER,3
IS_LOCATED_ON,LOCATED_OR_OCCURS_IN,3
HAS_COORDINATE,HAS_OR_EXHIBITS,3
REQUIRES_INVESTIGATION_OF,OBSERVES_OR_MEASURES,3
USED_IMPROVED,PROMOTES_OR_INCREASES,3
HOSTED_DEVELOPMENT_OF,PRODUCES_OR_TRANSFORMS_TO,3
REQUIRES_SELECTION_OF,DEPENDS_ON_OR_REQUIRES,3
IS_REINFORCED_BY,OTHER,3
HAS_GRAIN_DIAMETER,HAS_OR_EXHIBITS,3
IS_LESS_AFFECTED_BY,AFFECTS_OR_INFLUENCES,3
REDUCES_TEMPERATURE_OF,REDUCES_OR_INHIBITS,3
PREHEATS,OTHER,3
FACILITATES_MANUFACTURE_OF,PROMOTES_OR_INCREASES,3
CAN_BE_LOCATED_IN,LOCATED_OR_OCCURS_IN,3
DEFINES_AREA_OF,DESCRIBES_OR_DEFINES,3
CHOOSE,OTHER,3
CHARACTERIZES_INTERFACE_OF,OBSERVES_OR_MEASURES,3
HAS_LOWER_TEMPERATURE_THAN,HAS_OR_EXHIBITS,3
ADJUSTED_IN,OTHER,3
SUPPORTS_STUDY_OF,PROMOTES_OR_INCREASES,3
ENABLES_ADJUSTMENT_OF,PROMOTES_OR_INCREASES,3
IS_VERIFIED_AGAINST,OTHER,3
COMPENSATES_SHRINKAGE_OF,OTHER,3
HAS_TRANSLATION,HAS_OR_EXHIBITS,3
DEFINED_UP_TO,DESCRIBES_OR_DEFINES,3
PARTITIONS,CONTAINS_OR_PART_OF,3
CAN_INCLUDE,CONTAINS_OR_PART_OF,3
BUILT_UPON,OTHER,3
ENABLES_IMPROVEMENT_OF,PROMOTES_OR_INCREASES,3
ENABLES_EFFECT,PROMOTES_OR_INCREASES,3
IS_RELEVANT_TO,OTHER,3
IMPROVES_WITH,PROMOTES_OR_INCREASES,3
MEASURES_STABILITY_OF,OBSERVES_OR_MEASURES,3
HAS_ENERGY_ABOVE_HULL,HAS_OR_EXHIBITS,3
HAS_LOWER_CRITICAL_PARAMETERS_THAN,HAS_OR_EXHIBITS,3
REDUCES_MORE_THAN,REDUCES_OR_INHIBITS,3
SHARES_ELECTRONIC_BEHAVIOR_WITH,OTHER,3
CANNOT_SUBSTITUTE,OTHER,3
REPORTED_AS,OBSERVES_OR_MEASURES,3
EXHIBITS_DISTRIBUTION_OF,HAS_OR_EXHIBITS,3
FAVOURS,OTHER,3
HAS_ALLOY,HAS_OR_EXHIBITS,3
USED_TO_OPTIMIZE,USES_OR_APPLIES_TO,3
HAS_INTERFACIAL_ENERGY_CALCULATED_BY,HAS_OR_EXHIBITS,3
HAS_MIRROR_RELATIONSHIP_WITH,HAS_OR_EXHIBITS,3
CAN_GENERATE,PRODUCES_OR_TRANSFORMS_TO,3
NOT_SUFFICIENT_FOR,OTHER,3
NOT_DESCRIBED_BY,DESCRIBES_OR_DEFINES,3
CONTAINS_INFORMATION_ON,CONTAINS_OR_PART_OF,3
IS_STABILIZED_BY,PROMOTES_OR_INCREASES,3
ACCELERATES_DISCOVERY_OF,PROMOTES_OR_INCREASES,3
ACHIEVES_ACCURACY,OTHER,3
CORRELATES_POSITIVELY_WITH,CORRELATES_WITH,3
PREDICT_STABILITY_OF,MODELS_OR_PREDICTS,3
HINDERS_OBSERVATION_OF,REDUCES_OR_INHIBITS,3
USED_METHOD,USES_OR_APPLIES_TO,3
MODELS_TRANSPORT_OF,MODELS_OR_PREDICTS,3
PROPAGATES_AS,OTHER,3
FORMS_POINT_WITH,PRODUCES_OR_TRANSFORMS_TO,3
FORMS_TRIPLE_JUNCTION_WITH,PRODUCES_OR_TRANSFORMS_TO,3
OPTIMISED_USING,OTHER,3
SUPPRESSES_MAGNETIC_MOMENT_OF,REDUCES_OR_INHIBITS,3
CONTAINS_CONTRIBUTION_FROM,CONTAINS_OR_PART_OF,3
HAS_COHERENCE_LENGTH,HAS_OR_EXHIBITS,3
CAUSES_TRANSITION_IN,CAUSES_OR_CONTRIBUTES_TO,3
ANALYZE_WITH,OBSERVES_OR_MEASURES,3
HAS_CRITICAL_VALUE,HAS_OR_EXHIBITS,3
INCREASES_STRESS_IN,PROMOTES_OR_INCREASES,3
DIFFERS_AT,COMPARES_WITH,3
REQUIRES_CREATION_OF,DEPENDS_ON_OR_REQUIRES,3
SOLIDIFIES_AS,OTHER,3
INCLUDES_PEAKS_FOR,CONTAINS_OR_PART_OF,3
